z,dz,sigdm,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0
5.5000, 1.0000, 0.0366, 0.3271, 0.3271, 0.3271, 0.3271, 0.3772, 0.6229, 0.6527, 1.0371, 1.4693
5.7000, 1.0000, 0.0362, 0.3465, 0.3465, 0.3465, 0.3465, 0.3999, 0.6732, 0.7034, 1.1240, 1.5796
5.9000, 1.0000, 0.0358, 0.3667, 0.3667, 0.3667, 0.3667, 0.4235, 0.7264, 0.7568, 1.2157, 1.6952
6.1000, 1.0000, 0.0354, 0.3876, 0.3876, 0.3876, 0.3876, 0.4479, 0.7824, 0.8128, 1.3124, 1.8159
6.3000, 1.0000, 0.0350, 0.4093, 0.4093, 0.4093, 0.4093, 0.4733, 0.8414, 0.8717, 1.4141, 1.9419
6.5000, 1.0000, 0.0346, 0.4317, 0.4317, 0.4317, 0.4317, 0.4994, 0.9033, 0.9334, 1.5211, 2.0733
6.7000, 1.0000, 0.0342, 0.4549, 0.4549, 0.4549, 0.4549, 0.5265, 0.9684, 0.9979, 1.6334, 2.2102
6.9000, 1.0000, 0.0339, 0.4789, 0.4789, 0.4789, 0.4789, 0.5544, 1.0365, 1.0654, 1.7512, 2.3525
7.1000, 1.0000, 0.0336, 0.5036, 0.5036, 0.5036, 0.5036, 0.5833, 1.1078, 1.1358, 1.8744, 2.5003
7.3000, 1.0000, 0.0333, 0.5291, 0.5291, 0.5291, 0.5291, 0.6130, 1.1824, 1.2093, 2.0033, 2.6538
7.5000, 1.0000, 0.0329, 0.5553, 0.5553, 0.5553, 0.5553, 0.6436, 1.2602, 1.2858, 2.1379, 2.8130
7.7000, 1.0000, 0.0326, 0.5824, 0.5824, 0.5824, 0.5824, 0.6750, 1.3414, 1.3654, 2.2784, 2.9778
7.9000, 1.0000, 0.0323, 0.6101, 0.6101, 0.6101, 0.6101, 0.7074, 1.4260, 1.4481, 2.4248, 3.1485
8.1000, 1.0000, 0.0321, 0.6387, 0.6387, 0.6387, 0.6387, 0.7406, 1.5141, 1.5341, 2.5773, 3.3250
8.3000, 1.0000, 0.0318, 0.6681, 0.6681, 0.6681, 0.6681, 0.7748, 1.6056, 1.6233, 2.7358, 3.5074
8.5000, 1.0000, 0.0315, 0.6982, 0.6982, 0.6982, 0.6982, 0.8098, 1.7008, 1.7158, 2.9007, 3.6958
8.7000, 1.0000, 0.0313, 0.7290, 0.7290, 0.7290, 0.7290, 0.8457, 1.7995, 1.8115, 3.0718, 3.8902
8.9000, 1.0000, 0.0310, 0.7607, 0.7607, 0.7607, 0.7607, 0.8825, 1.9020, 1.9107, 3.2494, 4.0906
9.1000, 1.0000, 0.0308, 0.7931, 0.7931, 0.7931, 0.7931, 0.9202, 2.0081, 2.0132, 3.4336, 4.2971
9.3000, 1.0000, 0.0305, 0.8263, 0.8263, 0.8263, 0.8263, 0.9588, 2.1181, 2.1192, 3.6243, 4.5097
9.5000, 1.0000, 0.0303, 0.8603, 0.8603, 0.8603, 0.8603, 0.9983, 2.2318, 2.2287, 3.8217, 4.7286
9.7000, 1.0000, 0.0301, 0.8951, 0.8951, 0.8951, 0.8951, 1.0386, 2.3495, 2.3417, 4.0260, 4.9537
9.9000, 1.0000, 0.0298, 0.9306, 0.9306, 0.9306, 0.9306, 1.0799, 2.4711, 2.4582, 4.2371, 5.1850
10.1000, 1.0000, 0.0296, 0.9669, 0.9669, 0.9669, 0.9669, 1.1220, 2.5966, 2.5783, 4.4552, 5.4227
10.3000, 1.0000, 0.0294, 1.0040, 1.0040, 1.0040, 1.0040, 1.1651, 2.7262, 2.7020, 4.6804, 5.6667
10.5000, 1.0000, 0.0292, 1.0419, 1.0419, 1.0419, 1.0419, 1.2090, 2.8598, 2.8295, 4.9127, 5.9172
10.7000, 1.0000, 0.0290, 1.0805, 1.0805, 1.0805, 1.0805, 1.2538, 2.9976, 2.9605, 5.1523, 6.1740
10.9000, 1.0000, 0.0288, 1.1199, 1.1199, 1.1199, 1.1199, 1.2995, 3.1395, 3.0954, 5.3991, 6.4374
11.1000, 1.0000, 0.0286, 1.1601, 1.1601, 1.1601, 1.1601, 1.3461, 3.2856, 3.2340, 5.6534, 6.7072
11.3000, 1.0000, 0.0284, 1.2011, 1.2011, 1.2011, 1.2011, 1.3936, 3.4360, 3.3763, 5.9151, 6.9836
11.5000, 1.0000, 0.0282, 1.2428, 1.2428, 1.2428, 1.2428, 1.4420, 3.5906, 3.5225, 6.1844, 7.2666
11.7000, 1.0000, 0.0281, 1.2853, 1.2853, 1.2853, 1.2853, 1.4913, 3.7496, 3.6726, 6.4613, 7.5562
11.9000, 1.0000, 0.0279, 1.3286, 1.3286, 1.3286, 1.3286, 1.5414, 3.9130, 3.8265, 6.7459, 7.8524
12.1000, 1.0000, 0.0277, 1.3726, 1.3726, 1.3726, 1.3726, 1.5924, 4.0808, 3.9844, 7.0383, 8.1552
12.3000, 1.0000, 0.0275, 1.4174, 1.4174, 1.4174, 1.4174, 1.6443, 4.2530, 4.1462, 7.3386, 8.4648
12.5000, 1.0000, 0.0273, 1.4630, 1.4630, 1.4630, 1.4630, 1.6971, 4.4298, 4.3120, 7.6468, 8.7811
12.7000, 1.0000, 0.0272, 1.5094, 1.5094, 1.5094, 1.5094, 1.7508, 4.6111, 4.4818, 7.9630, 9.1042
12.9000, 1.0000, 0.0270, 1.5565, 1.5565, 1.5565, 1.5565, 1.8053, 4.7970, 4.6556, 8.2873, 9.4340
13.1000, 1.0000, 0.0268, 1.6043, 1.6043, 1.6043, 1.6043, 1.8608, 4.9875, 4.8335, 8.6197, 9.7707
13.3000, 1.0000, 0.0267, 1.6530, 1.6530, 1.6530, 1.6530, 1.9171, 5.1826, 5.0154, 8.9604,10.1141
13.5000, 1.0000, 0.0265, 1.7024, 1.7024, 1.7024, 1.7024, 1.9742, 5.3824, 5.2015, 9.3093,10.4645
13.7000, 1.0000, 0.0264, 1.7526, 1.7526, 1.7526, 1.7526, 2.0323, 5.5870, 5.3917, 9.6666,10.8217
13.9000, 1.0000, 0.0262, 1.8035, 1.8035, 1.8035, 1.8035, 2.0912, 5.7963, 5.5861,10.0323,11.1858
14.1000, 1.0000, 0.0261, 1.8551, 1.8551, 1.8551, 1.8551, 2.1510, 6.0105, 5.7846,10.4065,11.5568
14.3000, 1.0000, 0.0259, 1.9076, 1.9076, 1.9076, 1.9076, 2.2116, 6.2294, 5.9874,10.7892,11.9347
14.5000, 1.0000, 0.0258, 1.9608, 1.9608, 1.9608, 1.9608, 2.2731, 6.4533, 6.1944,11.1806,12.3196
14.7000, 1.0000, 0.0256, 2.0147, 2.0147, 2.0147, 2.0147, 2.3355, 6.6820, 6.4056,11.5806,12.7115
14.9000, 1.0000, 0.0255, 2.0694, 2.0694, 2.0694, 2.0694, 2.3987, 6.9157, 6.6212,11.9893,13.1104
15.1000, 1.0000, 0.0253, 2.1248, 2.1248, 2.1248, 2.1248, 2.4628, 7.1543, 6.8410,12.4069,13.5163
15.3000, 1.0000, 0.0252, 2.1810, 2.1810, 2.1810, 2.1810, 2.5277, 7.3979, 7.0651,12.8333,13.9292
15.5000, 1.0000, 0.0251, 2.2379, 2.2379, 2.2379, 2.2379, 2.5935, 7.6466, 7.2936,13.2686,14.3492
15.7000, 1.0000, 0.0249, 2.2956, 2.2956, 2.2956, 2.2956, 2.6601, 7.9004, 7.5265,13.7129,14.7762
15.9000, 1.0000, 0.0248, 2.3540, 2.3540, 2.3540, 2.3540, 2.7276, 8.1592, 7.7637,14.1662,15.2103
16.1000, 1.0000, 0.0247, 2.4132, 2.4132, 2.4132, 2.4132, 2.7959, 8.4231, 8.0054,14.6286,15.6515
16.3000, 1.0000, 0.0245, 2.4731, 2.4731, 2.4731, 2.4731, 2.8651, 8.6922, 8.2514,15.1001,16.0998
16.5000, 1.0000, 0.0244, 2.5337, 2.5337, 2.5337, 2.5337, 2.9351, 8.9665, 8.5020,15.5808,16.5552
16.7000, 1.0000, 0.0243, 2.5951, 2.5951, 2.5951, 2.5951, 3.0060, 9.2460, 8.7569,16.0708,17.0177
16.9000, 1.0000, 0.0242, 2.6572, 2.6572, 2.6572, 2.6572, 3.0776, 9.5308, 9.0164,16.5701,17.4874
17.1000, 1.0000, 0.0240, 2.7200, 2.7200, 2.7200, 2.7200, 3.1502, 9.8208, 9.2803,17.0787,17.9642
17.3000, 1.0000, 0.0239, 2.7835, 2.7835, 2.7835, 2.7835, 3.2235,10.1161, 9.5488,17.5967,18.4482
17.5000, 1.0000, 0.0238, 2.8478, 2.8478, 2.8478, 2.8478, 3.2977,10.4167, 9.8218,18.1241,18.9393
17.7000, 1.0000, 0.0237, 2.9128, 2.9128, 2.9128, 2.9128, 3.3727,10.7226,10.0993,18.6611,19.4376
17.9000, 1.0000, 0.0236, 2.9785, 2.9785, 2.9785, 2.9785, 3.4485,11.0340,10.3814,19.2076,19.9431
18.1000, 1.0000, 0.0234, 3.0449, 3.0449, 3.0449, 3.0449, 3.5251,11.3507,10.6681,19.7637,20.4559
18.3000, 1.0000, 0.0233, 3.1121, 3.1121, 3.1121, 3.1121, 3.6026,11.6729,10.9594,20.3295,20.9758
18.5000, 1.0000, 0.0232, 3.1799, 3.1799, 3.1799, 3.1799, 3.6809,12.0005,11.2553,20.9049,21.5029
18.7000, 1.0000, 0.0231, 3.2485, 3.2485, 3.2485, 3.2485, 3.7600,12.3336,11.5558,21.4901,22.0373
18.9000, 1.0000, 0.0230, 3.3178, 3.3178, 3.3178, 3.3178, 3.8399,12.6722,11.8610,22.0850,22.5788
19.1000, 1.0000, 0.0229, 3.3878, 3.3878, 3.3878, 3.3878, 3.9206,13.0163,12.1708,22.6898,23.1276
19.3000, 1.0000, 0.0228, 3.4585, 3.4585, 3.4585, 3.4585, 4.0021,13.3659,12.4853,23.3045,23.6837
19.5000, 1.0000, 0.0226, 3.5299, 3.5299, 3.5299, 3.5299, 4.0844,13.7212,12.8045,23.9290,24.2470
19.7000, 1.0000, 0.0225, 3.6020, 3.6020, 3.6020, 3.6020, 4.1675,14.0820,13.1283,24.5636,24.8175
